file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
case_0073_20260629_103955_709_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000072_00,0.0,4.296875,wav,-50.27002180232558,-49.908339235517715,2.4584820265488814,18.704575241459175
case_0021_20260629_094131_827_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000020_00,0.0,5.176875,wav,-44.9177689128861,-50.431976318359375,2.4537407157112154,20.732982614279564
case_0050_20260629_094531_787_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000049_00,0.0,5.176875,wav,-48.33777373914093,-50.957610675266814,2.4513336506927996,28.763802150959652
case_0087_20260629_104236_618_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000087_00,0.0,3.656875,wav,-48.97636505293716,-49.48671583695845,2.4200663532690623,16.09535242781065
case_0044_20260629_094441_616_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000043_00,0.0,3.496875,wav,-45.057106584821426,-47.176792340400894,2.4120908118508915,30.736274451859494
case_0083_20260629_104152_081_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000083_00,0.0,4.776875,wav,-44.80135738101465,-45.37950440340264,2.3718945887617666,24.420207557852812
case_0094_20260629_104347_149_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000094_00,0.0,3.576875,wav,-49.25900728875698,-50.46302993209274,2.3718945887617666,12.553351385215684
case_0064_20260629_103727_346_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000063_00,0.0,5.016875,wav,-46.41802321962152,-49.2694716550866,2.3718879711703362,13.730685772294464
case_0007_20260629_093832_958_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000006_00,0.0,4.136875,wav,-47.811598920591784,-47.28187779017857,2.3398629217864793,16.60124774793748
case_0078_20260629_104035_184_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000077_00,0.0,4.296875,wav,-46.87627180232558,-47.2829649904941,2.317286181766756,22.85089398868435
case_0038_20260629_094354_893_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000037_00,0.0,4.056875,wav,-47.52736299261084,-47.78285140991211,2.317286181766756,19.53629599096008
case_0069_20260629_103920_849_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000068_00,0.0,3.336875,wav,-46.39297576721557,-48.07143247127533,2.302077917485513,24.13249849074867
case_0102_20260629_104502_054_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000102_00,0.0,5.096875,wav,-46.86470205269608,-49.51364699999491,2.2786379632061684,23.176057942012882
case_0093_20260629_104341_467_Alfie_Line_D80D638B4BB58C458BEEA4B1CF6291D6_000093_00,0.0,2.776875,wav,-52.716779310926256,-54.65937826368544,2.24382170130515,25.980716743602454
