EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,20_FV,FVS,five,0,0,0,0.0379747,0.0373186,1,SimpleBudgetV1
1,06_Eh,EEE,five,0,0,0.0506329,0.132911,0.180373,0.74,SimpleBudgetV1
2,04_Ih,EEE,six,1,0,0.208861,0.291139,0.491361,0.64,SimpleBudgetV1
3,06_Eh,EEE,seven,2,0,0.349873,0.408354,0.745128,0.74,SimpleBudgetV1
4,20_FV,FVS,seven,2,0,0.395823,0.445949,0.827229,1,SimpleBudgetV1
5,06_Eh,EEE,seven,2,0,0.383291,0.491899,0.860069,0.74,SimpleBudgetV1
6,06_Eh,EEE,eight,3,0,0.575949,0.658228,1.21285,0.74,SimpleBudgetV1
7,06_Eh,EEE,nine,4,0,0.734177,0.816456,1.52384,0.74,SimpleBudgetV1
8,06_Eh,EEE,ten,5,0,0.892405,0.974684,1.83483,0.74,SimpleBudgetV1
