word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,you,1,remembered,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,remembered,2,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,the,3,tickets,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,tickets,4,didn't,",",",",none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,didn't,5,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
